col1,特征1,特征2,特征3,特征4,特征5,特征6,特征7,特征8,特征9,特征10,特征11,特征12,特征13,特征14,特征15,特征16,特征17,特征18,特征19,特征20,特征21,特征22,特征23,特征24,特征25,特征26,特征27,特征28,特征29,特征30,特征31,特征32,特征33,特征34,特征35,特征36,特征37,特征38,特征39,特征40,特征41,特征42,特征43
247,285.2444,350.546,358,345.09,350.1786,379.47,367.5162,380.85,376.4148,386.0724,392.58,396.24,183.9605,383.5914,383.0376,386.79,390.6738,257.242,2.750364,180.7552,28.92832,100.2049,82953.6,33.10595,253.4447,26.51089,0.0402124,110.9711,2.511985,312,155.6772,189.1,8.4228,34.10214,209.554,80.0954,225.008,202.3,204.9,0.9848075,34.46816,59.2231,53.66517
250,286.1086,351.4817,359.345,345.63,351.24,381.48,367.5376,380.91,376.5136,386.7408,393.33,396.7992,173.9547,383.55,382.6364,386.6728,390.3028,254.9063,2.754365,187.7988,29.01166,95.86165,84359.52,33.31621,254.3252,25.35956,0.04063163,113.9136,2.510077,313.4884,154.2762,193.4,0.524,33.9799,210.5442,80.04162,228.3674,205.6,207.7,0.991035,35.01848,60.82948,53.9756
251,284.9954,353.4218,361.3436,345.36,351.1538,381.87,367.3877,380.6193,376.41,386.5031,393.0338,396.63,176.0624,383.0193,382.7285,386.31,390.2984,257.8117,2.754323,186.2639,28.98236,92.27663,84637.01,33.11089,255.506,25.47897,0.03966873,113.0677,2.484086,313.3,155.849,190.8,0.7110604,34.00464,210.2564,77.99722,230.5,203.7,206.3,0.987,35.10379,61.76909,54.9261
249,284.4926,354.5325,362.3,345.51,350.936,381.831,367.346,380.439,376.171,385.71,392.422,395.64,179.2742,382.946,382.315,386.152,390.326,258.9142,2.752847,187.4204,28.95661,94.18262,83410,33.52734,255.0928,24.53925,0.039418,110.9441,2.510008,314.2,152.8372,190.5,0.3965333,33.67179,210.6133,77.968,227.8434,203.5,205.5,0.986625,35.3292,61.06417,53.98843
245,286.2179,355.4353,363.2,345.81,351.03,381.3,368.0012,380.8412,376.5816,385.9456,392.2072,395.13,183.7353,383.1816,382.8644,386.726,391.1144,257.785,2.756,187.2665,29.0158,95.90065,83362.32,33.55153,254.7356,26.07285,0.04248,114.0835,2.506537,313.5427,156.423,190.4,9.002934,32.61888,209.8,78.11546,228.172,204.1,206.3573,0.9871783,35.19088,61.91067,53.49667
248,285.2915,355.55,362.5,345.2922,350.5752,380.7048,367.9122,381.5022,376.47,386.25,392.7,395.64,184.574,383.4678,382.9752,386.91,391.0356,257.5055,2.756568,184.723,28.93255,97.2296,82694.04,33.96893,254.6978,26.14923,0.0434832,114.5002,2.506135,312.9,153.4978,189.242,9.4444,33.06535,208.584,77.9978,228.9,203.542,205.8,0.9874275,35.21136,61.47,53.79489
245,284.3139,354.7767,363.6,345.24,350.488,381.476,368.848,382.918,377.168,387.232,393.334,396.72,176.0933,384.078,382.922,387.386,391.854,249.8267,2.754067,187.2633,28.89082,95.68,82150.8,33.43648,256.3978,26.6322,0.04417867,111.5765,2.507117,312.9,150.7352,186.8933,7.506134,33.54752,211.1933,75.95634,226.8133,201.4,203.6,0.981,34.6344,60.32933,53.01409
245,284.6212,360.1659,367.4,345.8656,351.42,382.3544,368.7498,382.8878,376.5344,386.3034,393.12,396.2334,182.8773,384.5656,383.7644,387.96,392.1922,252.3317,2.753868,187.5307,28.96091,97.24655,84235.48,34.01185,257.0326,27.12889,0.04238159,117.9004,2.506646,312.2927,154.751,189.6,0.6056533,33.37677,206.9147,75.8605,231.5147,204.1927,205.7,0.9836066,35.28176,60.67073,53.40328
246,285.4634,357.4268,365.3853,346.11,351.4756,382.8644,369.0445,383.31,376.4756,386.0956,392.9078,396.4844,182.8277,383.9633,383.4856,387.5289,391.8767,256.6758,2.753459,185.9504,29.12311,97.16583,85712.17,35.62131,254.4047,26.46023,0.04152443,114.0066,2.503119,312.6074,156.6208,188.3074,8.680187,33.27514,207.3,76.11635,227.8222,203.9074,206.3,0.9867408,34.53095,59.2961,52.83501
246,285.2517,355.7292,363.2912,345.8923,351.4904,382.92,369.0548,382.86,377.76,387.69,394.47,397.4048,185.6979,384.09,383.0152,387.5426,391.7778,251.2514,2.758914,185.8816,28.97625,99.2037,83309.27,35.35238,255.1337,26.30255,0.0423835,117.0978,2.503609,313.5,154.077,188.9,0.6095474,33.31756,206,75.78183,227.9263,204.1,205.6,0.9914672,34.88654,60.02131,53.17454
243,285.817,357.7552,365.6,344.8862,349.98,379.9676,365.0659,375.6186,373.4524,383.76,390.2162,394.8362,185.6517,382.4265,381.8535,385.6376,389.0989,244.2664,2.75169,191.2246,29.03624,93.39738,84620.69,33.74284,254.5794,25.40459,0.04016,119.0867,2.49775,310.3793,150.6277,190.4,0.6608276,32.57225,208.9207,75.97,232.6793,209.1,210.2,0.9884741,34.70014,59.8331,52.13057
245,284.5405,360.025,367.3497,345.3213,349.92,380.34,366.9213,378.3016,375.8242,386.2074,392.5358,396.9671,185.7322,383.55,382.5118,386.6471,391.0374,242.073,2.757858,188.3615,29.02195,96.38747,84702.16,33.95214,254.3529,27.33869,0.04222037,118.4906,2.511926,307,152.0938,185.5739,0.7057778,33.50127,207.2261,76.03265,231.4217,205.4,206.6261,0.9884651,34.91166,60.28081,54.90096
